benchmark,model,mlir_baseline,v0_exec_time,v0_speedup,v45_exec_time,v45_speedup,v45_vs_v0_ratio,pytorch_eager,pytorch_jit
convnext_tiny_block_299,convnext_tiny,329616,44850985.0,0.0073,670114.0,0.4919,66.9304,4410,8131
convnext_tiny_block_300,convnext_tiny,375788,41664726.0,0.009,490534.0,0.7661,84.9375,2831,6029
convnext_tiny_block_324,convnext_tiny,1900518,32039267.0,0.0593,1014887.0,1.8726,31.5693,267263,277335
convnext_tiny_block_341,convnext_tiny,47673,12118734.0,0.0039,29290.0,1.6276,413.7499,1698,9405
convnext_tiny_block_351,convnext_tiny,1902720,43782449.0,0.0435,1023527.0,1.859,42.7761,269356,277163
convnext_tiny_block_354,convnext_tiny,92386,37480310.0,0.0025,139581.0,0.6619,268.5201,10612,17711
convnext_tiny_block_356,convnext_tiny,64632,23060082.0,0.0028,95881.0,0.6741,240.5073,10659,19061
convnext_tiny_block_381,convnext_tiny,1965,33782727.0,0.0001,2410.0,0.8154,14017.729,4505,8071
convnext_tiny_block_44,convnext_tiny,667997,19175402.0,0.0348,2603177.0,0.2566,7.3662,8172,13144
convnext_tiny_block_47,convnext_tiny,327379,16063849.0,0.0204,557714.0,0.587,28.803,2053,12566
convnext_tiny_block_64,convnext_tiny,1216559,22038676.0,0.0552,2891339.0,0.4208,7.6223,4359,8229
convnext_tiny_block_7,convnext_tiny,490571,32258548.0,0.0152,1587230.0,0.3091,20.3238,39702,47415
convnext_tiny_block_72,convnext_tiny,735198,28230506.0,0.026,2627038.0,0.2799,10.7461,2761,5929
convnext_tiny_block_74,convnext_tiny,326321,23404674.0,0.0139,593204.0,0.5501,39.4547,2138,12736
convnext_tiny_block_75,convnext_tiny,491642,35526608.0,0.0138,1647451.0,0.2984,21.5646,40687,46886
convnext_tiny_block_9,convnext_tiny,6805144,38103854.0,0.1786,25766594.0,0.2641,1.4788,420203,432611
convnext_tiny_generic_27,convnext_tiny,2642864,15434135.0,0.1712,10416170.0,0.2537,1.4817,21326,29963
convnext_tiny_generic_3,convnext_tiny,194931,9901021.0,0.0197,1221678.0,0.1596,8.1044,173313,183090
convnext_tiny_generic_45,convnext_tiny,46748,18005571.0,0.0026,31590.0,1.4798,569.9769,10772,17800
convnext_tiny_pooling_nchw_sum_0,convnext_tiny,21745,11516241.0,0.0019,20680.0,1.0515,556.8782,29698,34610
distilbert_block_0,distilbert,26059,20190.0,1.2907,18960.0,1.3744,1.0649,4752,8470
distilbert_block_100,distilbert,22957951,15363420.0,1.4943,5175347.0,4.436,2.9686,18505,24595
distilbert_block_103,distilbert,23498067,5659583.0,4.1519,5166006.0,4.5486,1.0955,18124,24666
distilbert_block_104,distilbert,23624299,11854459.0,1.9929,5297938.0,4.4591,2.2376,18156,24807
distilbert_block_107,distilbert,23684376,17637864.0,1.3428,5172407.0,4.579,3.41,17999,24349
distilbert_block_122,distilbert,23639729,9231324.0,2.5608,5144867.0,4.5948,1.7943,3543,17691
distilbert_block_169,distilbert,30371,29651.0,1.0243,16940.0,1.7929,1.7504,6809,11538
distilbert_block_177,distilbert,37366,36520.0,1.0232,28850.0,1.2952,1.2659,8006,12259
distilbert_block_183,distilbert,23374,22040.0,1.0605,11435.0,2.0441,1.9274,6620,13482
distilbert_block_191,distilbert,23243736,12923626.0,1.7985,5308198.0,4.3788,2.4347,18410,25637
distilbert_block_212,distilbert,56528,36820.0,1.5353,31701.0,1.7832,1.1615,7609,11819
distilbert_block_230,distilbert,23257859,16254915.0,1.4308,5315298.0,4.3756,3.0581,205930,212027
distilbert_block_284,distilbert,22702289,18523728.0,1.2256,5262347.0,4.3141,3.5201,4462,8797
distilbert_block_287,distilbert,23603602,18983062.0,1.2434,5326458.0,4.4314,3.5639,4636,8753
distilbert_block_303,distilbert,46839,41041.0,1.1413,34140.0,1.372,1.2021,6638,12263
distilbert_block_304,distilbert,23145612,14617466.0,1.5834,5148407.0,4.4957,2.8392,3486,18183
distilbert_block_306,distilbert,28866,28930.0,0.9978,20590.0,1.4019,1.4051,6512,12098
distilbert_block_351,distilbert,29601,28850.0,1.026,18860.0,1.5695,1.5297,6395,12018
distilbert_block_37,distilbert,23895174,31493955.0,0.7587,9112084.0,2.6224,3.4563,57770,65065
distilbert_block_379,distilbert,23684980,14532866.0,1.6298,5139846.0,4.6081,2.8275,18086,24670
distilbert_block_395,distilbert,22877749,12929636.0,1.7694,5130506.0,4.4592,2.5201,3530,17216
distilbert_block_396,distilbert,23707951,19522543.0,1.2144,8354340.0,2.8378,2.3368,57651,65016
distilbert_block_397,distilbert,35869,30310.0,1.1834,25981.0,1.3806,1.1666,6679,33567
distilbert_block_4,distilbert,24082,20920.0,1.1511,15630.0,1.5408,1.3385,6633,12236
distilbert_block_404,distilbert,36005,41581.0,0.8659,31880.0,1.1294,1.3043,6537,11983
distilbert_block_41,distilbert,59230,37010.0,1.6004,29660.0,1.997,1.2478,6354,11718
distilbert_block_422,distilbert,113176512,83155779.0,1.361,71712477.0,1.5782,1.1596,197085,204136
distilbert_block_453,distilbert,36301,33900.0,1.0708,28191.0,1.2877,1.2025,6597,11897
distilbert_block_455,distilbert,16202,6791.0,2.3858,6670.0,2.4291,1.0181,1689,9084
distilbert_block_456,distilbert,21641,22150.0,0.977,12710.0,1.7027,1.7427,7848,11945
distilbert_block_46,distilbert,21785,21471.0,1.0146,13509.0,1.6126,1.5894,6489,11726
distilbert_block_467,distilbert,23387384,14703976.0,1.5905,5157137.0,4.535,2.8512,19099,24161
distilbert_block_469,distilbert,23119946,10318680.0,2.2406,5325398.0,4.3414,1.9376,5659,8699
distilbert_block_48,distilbert,23268446,9249503.0,2.5156,5170727.0,4.5,1.7888,203382,209757
distilbert_block_485,distilbert,43846,39120.0,1.1208,25701.0,1.706,1.5221,6652,11828
distilbert_block_487,distilbert,24085809,16881879.0,1.4267,7576063.0,3.1792,2.2283,57519,64545
distilbert_block_489,distilbert,23309007,9363055.0,2.4895,5193147.0,4.4884,1.803,203375,209830
distilbert_block_496,distilbert,35147,42120.0,0.8344,37230.0,0.9441,1.1313,6412,11757
distilbert_block_541,distilbert,34619,47290.0,0.7321,23740.0,1.4583,1.992,6590,11952
distilbert_block_543,distilbert,32789,21741.0,1.5082,15200.0,2.1572,1.4303,4430,9989
distilbert_block_545,distilbert,26494,23321.0,1.1361,19850.0,1.3347,1.1749,6925,12051
distilbert_block_89,distilbert,33766,34540.0,0.9776,25340.0,1.3325,1.3631,7789,11896
distilbert_block_90,distilbert,28550,22320.0,1.2791,17880.0,1.5968,1.2483,6597,11626
distilbert_generic_22,distilbert,3233,7414323.0,0.0004,2980.0,1.0849,2488.0279,7253,12035
distilbert_generic_27,distilbert,227528,372052.0,0.6115,209881.0,1.0841,1.7727,38982,45688
efficientnet_b0_block_101,efficientnet_b0,13800147,33121014.0,0.4167,26035035.0,0.5301,1.2722,349458,360392
efficientnet_b0_block_102,efficientnet_b0,20801331,63202879.0,0.3291,27809547.0,0.748,2.2727,436036,448761
efficientnet_b0_block_104,efficientnet_b0,10775447,71127676.0,0.1515,23271296.0,0.463,3.0565,4659,8877
efficientnet_b0_block_115,efficientnet_b0,145284,16142209.0,0.009,156970.0,0.9256,102.8363,1728,9411
efficientnet_b0_block_120,efficientnet_b0,4956,48208956.0,0.0001,3270.0,1.5156,14742.8,11640,16013
efficientnet_b0_block_134,efficientnet_b0,13510096,36094691.0,0.3743,19561812.0,0.6906,1.8452,4750,9131
efficientnet_b0_block_175,efficientnet_b0,17599047,52087105.0,0.3379,24394614.0,0.7214,2.1352,4839,9212
efficientnet_b0_block_183,efficientnet_b0,1029149,23123742.0,0.0445,724045.0,1.4214,31.9369,248481,259687
efficientnet_b0_block_186,efficientnet_b0,544479,20971469.0,0.026,395243.0,1.3776,53.0597,246668,258141
efficientnet_b0_block_189,efficientnet_b0,61601,20477400.0,0.003,49520.0,1.244,413.5178,13828,19893
efficientnet_b0_block_207,efficientnet_b0,12337869,36428424.0,0.3387,17388107.0,0.7096,2.095,12830,17385
efficientnet_b0_block_208,efficientnet_b0,12978988,31175782.0,0.4163,18076301.0,0.718,1.7247,36686,44140
efficientnet_b0_block_213,efficientnet_b0,12461541,37648510.0,0.331,17663179.0,0.7055,2.1315,4830,9402
efficientnet_b0_block_221,efficientnet_b0,126768,16519057.0,0.0077,116471.0,1.0884,141.8298,18090,25198
efficientnet_b0_block_225,efficientnet_b0,20567,39861394.0,0.0005,22170.0,0.9277,1797.988,6140,9838
efficientnet_b0_block_227,efficientnet_b0,25227,19646525.0,0.0013,25440.0,0.9916,772.2691,14401,17902
efficientnet_b0_block_233,efficientnet_b0,11601278,38746387.0,0.2994,11960640.0,0.97,3.2395,253543,265127
efficientnet_b0_block_240,efficientnet_b0,10278817,31654206.0,0.3247,11416737.0,0.9003,2.7726,63390,70575
efficientnet_b0_block_241,efficientnet_b0,10936977,29062100.0,0.3763,11104884.0,0.9849,2.6171,253320,262703
efficientnet_b0_block_245,efficientnet_b0,17628594,29547683.0,0.5966,22753113.0,0.7748,1.2986,63106,71612
efficientnet_b0_block_248,efficientnet_b0,13212981,41378072.0,0.3193,18019132.0,0.7333,2.2963,6027,9249
efficientnet_b0_block_260,efficientnet_b0,751111,24907245.0,0.0302,1020186.0,0.7362,24.4144,17990,26327
efficientnet_b0_block_265,efficientnet_b0,125612,10983224.0,0.0114,112191.0,1.1196,97.8975,1743,9548
efficientnet_b0_block_269,efficientnet_b0,136225,17422662.0,0.0078,130701.0,1.0423,133.3017,18152,26791
efficientnet_b0_block_275,efficientnet_b0,86717,34571763.0,0.0025,232331.0,0.3732,148.8039,13431,19188
efficientnet_b0_block_276,efficientnet_b0,11748216,45968619.0,0.2556,11799249.0,0.9957,3.8959,252276,262816
efficientnet_b0_block_280,efficientnet_b0,4656998,49045668.0,0.095,5398697.0,0.8626,9.0847,36847,48556
efficientnet_b0_block_291,efficientnet_b0,17521602,40024354.0,0.4378,22785444.0,0.769,1.7566,63332,73055
efficientnet_b0_block_300,efficientnet_b0,17720856,45659348.0,0.3881,35714320.0,0.4962,1.2785,328299,338453
efficientnet_b0_block_307,efficientnet_b0,3084087,12871966.0,0.2396,1516140.0,2.0342,8.49,295322,306785
efficientnet_b0_block_314,efficientnet_b0,21587,14240743.0,0.0015,22580.0,0.956,630.6795,5222,9621
efficientnet_b0_block_321,efficientnet_b0,109846,17914935.0,0.0061,224601.0,0.4891,79.7634,13446,19404
efficientnet_b0_block_333,efficientnet_b0,29870538,54527540.0,0.5478,39305554.0,0.76,1.3873,63333,70819
efficientnet_b0_block_339,efficientnet_b0,4211926,16688238.0,0.2524,2118125.0,1.9885,7.8788,350800,360622
efficientnet_b0_block_343,efficientnet_b0,178833,11183335.0,0.016,165641.0,1.0796,67.5155,1886,10181
efficientnet_b0_block_35,efficientnet_b0,2567703,20045178.0,0.1281,3243932.0,0.7915,6.1793,31531,38487
efficientnet_b0_block_350,efficientnet_b0,42672,31143682.0,0.0014,44380.0,0.9615,701.7504,5517,10357
efficientnet_b0_block_352,efficientnet_b0,106774,25106467.0,0.0043,318143.0,0.3356,78.9157,4670,9453
efficientnet_b0_block_36,efficientnet_b0,4147466,29954826.0,0.1385,2923610.0,1.4186,10.2458,597609,610050
efficientnet_b0_block_360,efficientnet_b0,13438516,41744225.0,0.3219,14470958.0,0.9287,2.8847,16119,21220
efficientnet_b0_block_362,efficientnet_b0,23680978,38159943.0,0.6206,22590163.0,1.0483,1.6892,337645,348603
efficientnet_b0_block_387,efficientnet_b0,305646,29884986.0,0.0102,472883.0,0.6463,63.1974,21518,29223
efficientnet_b0_block_403,efficientnet_b0,19306072,37550900.0,0.5141,20908751.0,0.9233,1.7959,81757,91676
efficientnet_b0_block_404,efficientnet_b0,19287948,25169337.0,0.7663,20459278.0,0.9427,1.2302,5402,10204
efficientnet_b0_block_406,efficientnet_b0,23940301,50323065.0,0.4757,22549412.0,1.0617,2.2317,345408,359207
efficientnet_b0_block_407,efficientnet_b0,19272880,39926364.0,0.4827,20284556.0,0.9501,1.9683,18316,22501
efficientnet_b0_block_433,efficientnet_b0,74151,23765409.0,0.0031,168331.0,0.4405,141.1826,14171,20909
efficientnet_b0_block_437,efficientnet_b0,40986,53605778.0,0.0008,44781.0,0.9153,1197.0652,15217,21226
efficientnet_b0_block_441,efficientnet_b0,41051,36161112.0,0.0011,112081.0,0.3663,322.6337,4662,9215
efficientnet_b0_block_442,efficientnet_b0,64747,34579640.0,0.0019,123511.0,0.5242,279.9721,15168,20361
efficientnet_b0_block_451,efficientnet_b0,21036307,31144992.0,0.6754,27444505.0,0.7665,1.1348,5282,10364
efficientnet_b0_block_473,efficientnet_b0,107311,33723325.0,0.0032,223252.0,0.4807,151.055,4687,10557
efficientnet_b0_block_484,efficientnet_b0,13802984,47091415.0,0.2931,28145009.0,0.4904,1.6732,20925,26372
efficientnet_b0_block_487,efficientnet_b0,26455245,65747641.0,0.4024,36602126.0,0.7228,1.7963,42373,49886
efficientnet_b0_block_49,efficientnet_b0,197351,34664929.0,0.0057,762415.0,0.2588,45.4673,4607,10206
efficientnet_b0_block_492,efficientnet_b0,26687429,52198280.0,0.5113,48260685.0,0.553,1.0816,5886,10615
efficientnet_b0_block_496,efficientnet_b0,20540816,58282272.0,0.3524,27263934.0,0.7534,2.1377,5354,10285
efficientnet_b0_block_500,efficientnet_b0,1807836,27388682.0,0.066,1303129.0,1.3873,21.0176,266686,277083
efficientnet_b0_block_51,efficientnet_b0,15142343,23765564.0,0.6372,9420503.0,1.6074,2.5227,596409,607431
efficientnet_b0_block_511,efficientnet_b0,149909,17635471.0,0.0085,169801.0,0.8829,103.8596,18593,25264
efficientnet_b0_block_517,efficientnet_b0,179687,34828241.0,0.0052,309372.0,0.5808,112.5772,19632,25344
efficientnet_b0_block_524,efficientnet_b0,14109138,37812366.0,0.3731,17268527.0,0.817,2.1897,41770,49423
efficientnet_b0_block_540,efficientnet_b0,26864417,38461150.0,0.6985,35109807.0,0.7652,1.0955,485728,496668
efficientnet_b0_block_544,efficientnet_b0,26295391,43941098.0,0.5984,34989686.0,0.7515,1.2558,5726,10847
efficientnet_b0_block_549,efficientnet_b0,1530347,25863114.0,0.0592,942497.0,1.6237,27.4411,268298,278631
efficientnet_b0_block_552,efficientnet_b0,100491,30446778.0,0.0033,130141.0,0.7722,233.9522,18624,25504
efficientnet_b0_block_554,efficientnet_b0,144520,7698010.0,0.0188,303683.0,0.4759,25.3488,18394,25864
efficientnet_b0_block_556,efficientnet_b0,134670,14114724.0,0.0095,154041.0,0.8742,91.6297,5883,10865
efficientnet_b0_block_558,efficientnet_b0,132873,47422266.0,0.0028,147851.0,0.8987,320.7436,19669,25583
efficientnet_b0_block_574,efficientnet_b0,14088220,19450531.0,0.7243,17642129.0,0.7986,1.1025,42394,49791
efficientnet_b0_block_575,efficientnet_b0,15135996,46177229.0,0.3278,18140172.0,0.8344,2.5456,268414,277398
efficientnet_b0_block_577,efficientnet_b0,20522239,36890731.0,0.5563,27069603.0,0.7581,1.3628,349276,360539
efficientnet_b0_block_58,efficientnet_b0,14051698,48931944.0,0.2872,26100196.0,0.5384,1.8748,172558,208990
efficientnet_b0_block_594,efficientnet_b0,1177088,22596307.0,0.0521,923446.0,1.2747,24.4695,242090,250090
efficientnet_b0_block_602,efficientnet_b0,138843,23492542.0,0.0059,323303.0,0.4295,72.6642,19471,25615
efficientnet_b0_block_605,efficientnet_b0,151185,27688624.0,0.0055,194882.0,0.7758,142.0789,18587,26231
efficientnet_b0_block_606,efficientnet_b0,132221,33893645.0,0.0039,155711.0,0.8491,217.6702,21344,27895
efficientnet_b0_block_615,efficientnet_b0,23226064,28931960.0,0.8028,28488212.0,0.8153,1.0156,4578,9226
efficientnet_b0_block_67,efficientnet_b0,3915710,24315916.0,0.161,5570418.0,0.7029,4.3652,42416,49989
efficientnet_b0_block_69,efficientnet_b0,586740,23934745.0,0.0245,584174.0,1.0044,40.9719,1803,9638
efficientnet_b0_block_71,efficientnet_b0,589424,19603762.0,0.0301,613784.0,0.9603,31.9392,41912,49188
efficientnet_b0_block_8,efficientnet_b0,524941,11193158.0,0.0469,547184.0,0.9594,20.4559,1681,9380
efficientnet_b0_block_83,efficientnet_b0,22476911,39879517.0,0.5636,14649128.0,1.5344,2.7223,464854,476012
efficientnet_b0_block_86,efficientnet_b0,13921875,24114895.0,0.5773,7254109.0,1.9192,3.3243,4650,9066
efficientnet_b0_block_87,efficientnet_b0,10915325,49357186.0,0.2211,8233906.0,1.3257,5.9944,173410,189650
efficientnet_b0_block_88,efficientnet_b0,13915100,49336156.0,0.282,7513330.0,1.8521,6.5665,595988,608821
efficientnet_b0_block_95,efficientnet_b0,17389217,53718978.0,0.3237,26321817.0,0.6606,2.0409,253400,266017
efficientnet_b0_conv_2d_nchw_fchw_14,efficientnet_b0,3125,14950388.0,0.0002,2820.0,1.1082,5301.556,11924,17437
efficientnet_b0_generic_1,efficientnet_b0,333243,16318314.0,0.0204,1822342.0,0.1829,8.9546,227054,239311
efficientnet_b0_generic_33,efficientnet_b0,259944,8789366.0,0.0296,259941.0,1.0,33.8129,24337,31784
efficientnet_b0_generic_46,efficientnet_b0,113664,5819600.0,0.0195,105131.0,1.0812,55.3557,17988,25287
efficientnet_b0_generic_55,efficientnet_b0,159754,14885687.0,0.0107,153991.0,1.0374,96.666,22288,28566
efficientnet_b0_generic_64,efficientnet_b0,27487,11932171.0,0.0023,44511.0,0.6175,268.0724,14077,21136
efficientnet_b0_generic_77,efficientnet_b0,42324,8006871.0,0.0053,75011.0,0.5642,106.7426,20774,26818
gat_generic_15,gat,95078,15921263.0,0.006,54840.0,1.7337,290.3221,5708,11424
gin_block_11,gin,4969615,27728280.0,0.1792,7062038.0,0.7037,3.9264,5711,11349
gin_block_12,gin,2526903,26306712.0,0.0961,3617684.0,0.6985,7.2717,4295,21750
gin_block_18,gin,4888129,42576958.0,0.1148,7066227.0,0.6918,6.0254,5709,11405
gin_block_2,gin,1012516,21416520.0,0.0473,1832403.0,0.5526,11.6877,3722,8099
gin_block_22,gin,4981650,23556969.0,0.2115,6957597.0,0.716,3.3858,4170,20493
gin_block_5,gin,3502164,29680488.0,0.118,5239116.0,0.6685,5.6652,4835,10843
gin_block_7,gin,2513125,27311857.0,0.092,3625734.0,0.6931,7.5328,5623,11313
gpt2_batch_matmul_0,gpt2,249269,10962845.0,0.0227,142401.0,1.7505,76.9857,12439,18537
gpt2_block_100,gpt2,51703,78370.0,0.6597,53630.0,0.9641,1.4613,6915,12911
gpt2_block_113,gpt2,47712,96561.0,0.4941,61861.0,0.7713,1.5609,7145,12983
gpt2_block_116,gpt2,50926,98961.0,0.5146,74920.0,0.6797,1.3209,7019,12844
gpt2_block_119,gpt2,34253,52801.0,0.6487,37410.0,0.9156,1.4114,7111,12585
gpt2_block_127,gpt2,34120,22983725.0,0.0015,29690.0,1.1492,774.1234,9017,14538
gpt2_block_137,gpt2,52784,114751.0,0.46,74781.0,0.7058,1.5345,7431,14137
gpt2_block_141,gpt2,47859,105531.0,0.4535,66661.0,0.7179,1.5831,6922,12754
gpt2_block_142,gpt2,50210,59880.0,0.8385,44730.0,1.1225,1.3387,4438,8784
gpt2_block_159,gpt2,63467,106741.0,0.5946,69791.0,0.9094,1.5294,6919,12700
gpt2_block_17,gpt2,52398,109950.0,0.4766,69570.0,0.7532,1.5804,7097,12681
gpt2_block_184,gpt2,54015,94941.0,0.5689,70340.0,0.7679,1.3497,7063,12855
gpt2_block_198,gpt2,55512,121350.0,0.4575,78051.0,0.7112,1.5548,7854,13292
gpt2_block_232,gpt2,32783,44810.0,0.7316,31220.0,1.0501,1.4353,7714,12809
gpt2_block_242,gpt2,49563,82980.0,0.5973,59750.0,0.8295,1.3888,7553,12715
gpt2_block_248,gpt2,48136,53370.0,0.9019,46601.0,1.0329,1.1453,7590,12773
gpt2_block_250,gpt2,36297,42540.0,0.8532,39520.0,0.9184,1.0764,7497,12666
gpt2_block_256,gpt2,39163,24664165.0,0.0016,31090.0,1.2597,793.3151,8977,14172
gpt2_block_271,gpt2,45150,57870.0,0.7802,41610.0,1.0851,1.3908,4467,8626
gpt2_block_285,gpt2,46648,83391.0,0.5594,67921.0,0.6868,1.2278,7478,12570
gpt2_block_289,gpt2,39707,58161.0,0.6827,47460.0,0.8366,1.2255,4466,8483
gpt2_block_315,gpt2,42898,80761.0,0.5312,56051.0,0.7653,1.4408,6953,12451
gpt2_block_318,gpt2,31033,43381.0,0.7154,33830.0,0.9173,1.2823,7780,14335
gpt2_block_33,gpt2,50308,82941.0,0.6066,54611.0,0.9212,1.5188,7365,12503
gpt2_block_331,gpt2,76301,107171.0,0.712,70710.0,1.0791,1.5156,7213,12399
gpt2_block_332,gpt2,36412,58580.0,0.6216,46181.0,0.7885,1.2685,4538,8615
gpt2_block_342,gpt2,35982,30337727.0,0.0012,32510.0,1.1068,933.1814,10320,14372
gpt2_block_352,gpt2,68756,128170.0,0.5364,74831.0,0.9188,1.7128,7404,12492
gpt2_block_358,gpt2,44752,76830.0,0.5825,56991.0,0.7852,1.3481,7338,12344
gpt2_block_376,gpt2,41699,80591.0,0.5174,54501.0,0.7651,1.4787,7264,13658
gpt2_block_400,gpt2,36680,60910.0,0.6022,49010.0,0.7484,1.2428,4503,8587
gpt2_block_417,gpt2,64503,103681.0,0.6221,71110.0,0.9071,1.458,7267,14012
gpt2_block_422,gpt2,36252,40590.0,0.8931,35800.0,1.0126,1.1338,7311,12498
gpt2_block_442,gpt2,51282,91970.0,0.5576,67621.0,0.7584,1.3601,7473,12529
gpt2_block_443,gpt2,35699,57030.0,0.626,42841.0,0.8333,1.3312,4566,8546
gpt2_block_490,gpt2,30346,43820.0,0.6925,32791.0,0.9254,1.3363,7139,12497
gpt2_block_51,gpt2,81976,124480.0,0.6585,80811.0,1.0144,1.5404,7765,12763
gpt2_block_525,gpt2,45558,89410.0,0.5095,63860.0,0.7134,1.4001,7490,12840
gpt2_block_533,gpt2,33768,43200.0,0.7817,31140.0,1.0844,1.3873,7808,13855
gpt2_block_550,gpt2,23958,19500.0,1.2286,17900.0,1.3384,1.0894,1693,8895
gpt2_block_574,gpt2,36367,53031.0,0.6858,41450.0,0.8774,1.2794,7679,12916
gpt2_block_589,gpt2,54608,102261.0,0.534,66450.0,0.8218,1.5389,8150,12946
gpt2_block_591,gpt2,45450,78631.0,0.578,55071.0,0.8253,1.4278,7169,12610
gpt2_block_594,gpt2,30675,43531.0,0.7047,33760.0,0.9086,1.2894,7096,12213
gpt2_block_617,gpt2,45470,50951.0,0.8924,41420.0,1.0978,1.2301,7381,12564
gpt2_block_619,gpt2,30069,44950.0,0.6689,35121.0,0.8562,1.2799,7338,12728
gpt2_block_629,gpt2,45707,89640.0,0.5099,58761.0,0.7778,1.5255,7378,12414
gpt2_block_634,gpt2,54763,76310.0,0.7176,54230.0,1.0098,1.4072,7251,12429
gpt2_block_653,gpt2,69375,111720.0,0.621,78300.0,0.886,1.4268,7246,12609
gpt2_block_654,gpt2,42841,90530.0,0.4732,60160.0,0.7121,1.5048,7486,12560
gpt2_block_658,gpt2,36466,56190.0,0.649,44881.0,0.8125,1.252,4494,8621
gpt2_block_661,gpt2,23876,19240.0,1.241,17621.0,1.355,1.0919,1674,8891
gpt2_block_675,gpt2,63137,97051.0,0.6506,66870.0,0.9442,1.4513,7201,12694
gpt2_block_676,gpt2,41918,57921.0,0.7237,42080.0,0.9962,1.3764,4510,9725
gpt2_block_678,gpt2,41657,54620.0,0.7627,40830.0,1.0203,1.3377,7921,12995
gpt2_block_680,gpt2,34914,38831.0,0.8991,35790.0,0.9755,1.085,7258,12475
gpt2_block_697,gpt2,46896,100520.0,0.4665,61310.0,0.7649,1.6395,7036,12415
gpt2_block_70,gpt2,45805,82561.0,0.5548,60780.0,0.7536,1.3584,7310,12763
gpt2_block_702,gpt2,43924,75781.0,0.5796,53620.0,0.8192,1.4133,7937,12643
gpt2_block_718,gpt2,53231,105631.0,0.5039,71441.0,0.7451,1.4786,7616,14257
gpt2_block_721,gpt2,40441,53340.0,0.7582,42060.0,0.9615,1.2682,7178,12639
gpt2_block_723,gpt2,35846,40540.0,0.8842,33381.0,1.0738,1.2145,8801,12973
gpt2_block_743,gpt2,51416,101260.0,0.5078,79380.0,0.6477,1.2756,7238,12739
gpt2_block_77,gpt2,23610,19070.0,1.2381,17329.0,1.3625,1.1005,1770,9348
gpt2_block_815,gpt2,34843,22507062.0,0.0015,28910.0,1.2052,778.5217,10126,14524
gpt2_block_830,gpt2,37834,56740.0,0.6668,41950.0,0.9019,1.3526,5711,8841
gpt2_block_834,gpt2,35465,40620.0,0.8731,32000.0,1.1083,1.2694,7473,12947
gpt2_block_872,gpt2,62359,108591.0,0.5743,64861.0,0.9614,1.6742,7364,12883
